Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
14,1243.238914,1991.416757,819.1644429,872.6295857,1123.770471,1122.2595,1466.514,8.2,3.52,0.63,13,1.352,1.457,454,171,87.01,111.47
14,1243.936286,1990.007486,828.3174429,877.0026857,1130.744186,1123.567071,1449.646329,8.2,3.51,0.65,13,1.416,1.474,469,174,89.01,3.57
14,1240.914343,1989.731443,820.5737143,868.2274286,1121.823643,1120.966457,1444.793786,8.2,3.52,0.62,12.8,1.392,1.543,468,178,87.01,57.52
15,961.0795286,2269.072286,741.2767714,574.8519857,908.0066571,1041.349886,1582.234071,8.1,3.66,0.49,11.6,0.168,0.883,95,80,68.01,72.27
15,961.6170857,2272.878771,750.5605286,581.3607857,915.1837714,1043.195014,1581.289714,8.1,3.68,0.47,12,0.12,0.917,94,84,73.01,28.45
15,962.3435143,2275.711843,762.3867857,582.9008143,916.6802143,1042.090843,1583.715986,8.1,3.67,0.48,12,0.088,0.926,96,96,80.01,31.08
16,1197.575614,2256.272614,825.5570143,-134.8106143,1367.327443,1118.249614,690.2960143,8.3,3.76,0.48,13,1.288,1.166,458,181,95.01,167.97
16,1199.130171,2262.272914,839.8531286,-120.3401571,4606.559614,1129.1751,700.5677143,8.3,3.77,0.52,13,1.28,1.183,467,183,72.01,21.74
16,1198.549029,2267.256214,832.9811143,-144.3558857,9588.188829,1135.829186,707.3380286,8.3,3.77,0.52,13,1.128,1.277,462,182,95.01,20.06
17,797.1827143,2443.633071,774.7070143,828.6806571,954.7305429,1080.489857,-90.86168571,7.6,3.62,0.5,13.2,0.744,0.651,499,178,47,175.44
17,797.3570571,2441.570014,770.8278857,828.6080143,955.5005571,1080.083057,-91.13772857,7.4,3.61,0.52,13.4,0.416,1.02,483,200,52.01,150.82
17,795.0615429,2442.194743,767.2538571,830.4386143,958.1157,1079.298514,-83.78627143,7.5,3.61,0.52,13.4,0.712,0.754,500,205,54.01,30.37
18,922.6514571,2235.6711,768.1691571,568.3431857,910.2876429,1039.490229,1561.690671,8.3,3.77,0.5,13.2,1.096,0.874,509,214,61.01,92.11
18,925.2375429,2240.465529,768.8229429,567.8056286,909.3142286,1037.470757,1558.232871,8.1,3.78,0.45,13,1.032,0.926,533,200,77.01,92.29
18,925.3973571,2243.748986,770.0288143,563.3453571,905.5949143,1035.625629,1562.591443,8.3,3.78,0.54,13.6,1.072,0.9,530,181,93.01,32.64
