Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
57,1187.812414,2332.315157,822.7675286,-790.7465571,2551.594886,1132.574786,763.0405714,8.5,3.73,0.51,13.2,0.536,1.003,307,147,69.01,177.35
57,1191.197571,2342.9646,837.6157286,-773.3994429,2128.653643,1139.228871,769.3750286,8.5,3.73,0.51,12.8,0.608,1.003,316,149,58.01,175.55
57,1190.819829,2340.698143,844.0373571,-769.9271143,9575.447271,1152.987429,773.2105714,8.5,3.72,0.51,12.8,0.64,1.003,309,146,65.01,204.9
58,1215.867086,1925.878371,805.0717286,830.0027571,1056.909986,1151.084186,1484.122629,8,3.62,0.51,12.2,0.56,1.149,165,114,56.01,200.94
58,1221.024729,1930.309586,810.5199429,829.4216143,1058.275671,1149.122829,1486.200214,8.1,3.63,0.5,12.2,0.544,1.191,171,103,80.01,179.75
58,1221.184543,1931.922257,805.3477714,829.2182143,1058.2902,1147.669971,1492.534671,8.1,3.62,0.51,12.2,0.616,1.149,166,109,77.01,130.16
59,1146.435043,2995.8786,1057.244143,1271.424343,1238.182971,1132.865357,866.9925,6.9,3.51,0.7,14.2,0.44,1.251,292,214,65.01,272.24
59,1143.049886,2980.667186,1059.292671,1323.6255,1243.050043,1131.891943,865.6268143,6.9,3.52,0.7,14.2,0.464,1.226,303,199,47,137.35
59,1144.313871,2977.311086,1060.658357,1283.381357,1248.0624,1131.703071,868.2564857,6.9,3.52,0.66,14.2,0.464,1.26,296,213,49,51.95
60,1235.625943,2018.309143,786.0974143,796.6451571,1031.630271,1108.253957,1479.473486,8.4,3.48,0.62,14,1.152,0.866,697,258,59.01,247.91
60,1231.848514,2008.6767,779.8937143,796.4417571,1032.124243,1107.934329,1482.422786,8.4,3.48,0.64,14.4,1.168,0.874,716,268,55.01,233.48
60,1227.795043,2002.153371,777.2349857,797.4732857,1034.565043,1107.803571,1485.0234,8.5,3.48,0.63,14.4,1.208,0.874,717,261,54.01,261.43
61,1171.743814,3206.077971,1029.581743,1615.693371,1248.2658,1109.6487,845.2577571,7.4,3.78,0.69,13.2,0.392,0.566,449,175,60.01,387.7
61,1176.349371,3212.514129,1032.850671,1702.167429,1250.110929,1106.1909,857.1130714,7.3,3.79,0.63,13.2,0.424,0.549,461,175,60.01,328.64
61,1179.908871,3216.117214,1033.751443,1634.333529,1250.081871,1105.5807,859.1761286,7.4,3.78,0.63,13.2,0.424,0.557,477,165,58.01,257.26
