Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
Col-09,1199.13017142857,2262.27291428571,839.853128571429,-120.340157142857,4606.55961428571,1129.1751,700.567714285714,8.3,3.77,0.52,13,1.28,1.183,467,183,72.01,21.74
Col-09,1198.54902857143,2267.25621428571,832.981114285714,-144.355885714286,9588.18882857143,1135.82918571429,707.338028571429,8.3,3.77,0.52,13,1.128,1.277,462,182,95.01,20.06
CoR-10,797.182714285714,2443.63307142857,774.707014285714,828.680657142857,954.730542857143,1080.48985714286,-90.8616857142857,7.6,3.62,0.5,13.2,0.744,0.651,499,178,47.00,175.44
CoR-10,797.357057142857,2441.57001428571,770.827885714286,828.608014285714,955.500557142857,1080.08305714286,-91.1377285714286,7.4,3.61,0.52,13.4,0.416,1.02,483,200,52.01,150.82
CoR-10,795.061542857143,2442.19474285714,767.253857142857,830.438614285714,958.1157,1079.29851428571,-83.7862714285714,7.5,3.61,0.52,13.4,0.712,0.754,500,205,54.01,30.37
CR-09,922.651457142857,2235.6711,768.169157142857,568.343185714286,910.287642857143,1039.49022857143,1561.69067142857,8.3,3.77,0.5,13.2,1.096,0.874,509,214,61.01,92.11
CR-09,925.237542857143,2240.46552857143,768.822942857143,567.805628571429,909.314228571429,1037.47075714286,1558.23287142857,8.1,3.78,0.45,13,1.032,0.926,533,200,77.01,92.29
CR-09,925.397357142857,2243.74898571429,770.028814285714,563.345357142857,905.594914285714,1035.62562857143,1562.59144285714,8.3,3.78,0.54,13.6,1.072,0.9,530,181,93.01,32.64
CsM-10,1147.11788571429,2966.67617142857,1042.55575714286,1308.80635714286,1226.16784285714,1115.53277142857,828.230271428571,8.6,3.86,0.51,13.68,0.896,1.346,311,143,135.01,88.72
CsM-10,1147.90242857143,2979.17074285714,1047.3066,1312.70001428571,1231.03491428571,1114.55935714286,835.349271428571,8.6,3.85,0.51,13.68,0.952,1.354,311,146,136.01,105.74
CsM-10,1152.63874285714,2992.79854285714,1050.11061428571,1266.83331428571,1234.15855714286,1114.90804285714,842.105057142857,8.5,3.86,0.52,13.68,0.944,1.371,304,147,127.01,158.32
CV-11,1236.41048571429,2043.48715714286,784.600971428571,836.860242857143,1107.09167142857,1128.01281428571,1464.7851,8.1,3.79,0.5,13.2,0.664,1.354,169,92,71.01,33.07
CV-11,1237.93598571429,2052.1026,782.7849,837.325157142857,1109.47435714286,1127.60601428571,1465.87474285714,8.1,3.79,0.51,13.2,0.672,1.406,177,100,52.01,0.00
CV-11,1241.0451,2057.30382857143,787.128942857143,845.286814285714,1117.56677142857,1127.853,1475.50718571429,8.1,3.79,0.5,13.2,0.6,1.423,179,97,58.01,0.00
De-10,1183.67177142857,2337.83601428571,833.620371428571,-750.865628571429,2048.68838571429,1141.074,777.975942857143,8.9,3.59,0.59,13.68,1.024,1.166,461,166,64.01,92.08
De-10,1181.81211428571,2336.63014285714,836.671371428571,-746.114785714286,3168.18745714286,1148.25111428571,784.455685714286,8.9,3.59,0.59,13.68,1.128,1.14,471,159,73.01,117.62
De-10,1179.06621428571,2334.79954285714,831.789771428571,-748.177842857143,2581.33487142857,1146.82731428571,782.247342857143,8.9,3.59,0.61,13.68,1.08,1.183,481,169,79.01,85.50
DP-10,893.172985714286,1913.84871428571,789.8022,652.143985714286,914.646214285714,1041.04478571429,1554.60072857143,8.8,3.72,0.62,13.4,1.304,0.677,919,288,67.01,22.17
DP-10,900.321042857143,1925.64591428571,797.211771428571,654.468557142857,916.810971428571,1038.99625714286,1558.79948571429,8.8,3.71,0.63,13.2,1.104,0.729,935,306,45.00,67.22
DP-10,901.6722,1932.14018571429,800.335414285714,658.3041,921.431057142857,1039.86797142857,1558.02947142857,8.7,3.73,0.63,13.4,1.168,0.729,918,285,60.01,131.56
DW-10,915.212828571429,1963.05698571429,800.655042857143,663.607028571429,921.532757142857,1050.00891428571,1573.02295714286,8.3,3.53,0.61,13.5,1.128,0.669,806,283,67.01,130.16
DW-10,910.999542857143,1964.32097142857,796.6161,667.936542857143,926.2836,1051.20025714286,1603.66371428571,8.3,3.53,0.51,13.5,1.064,0.797,867,288,79.01,54.99
DW-10,910.491042857143,1966.52931428571,786.257228571429,653.7276,910.3167,1045.31618571429,1589.8761,8.2,3.54,0.51,14,1.096,0.737,840,287,70.01,55.24
ES-11,1225.51405714286,1966.63101428571,826.675714285714,852.696385714286,1107.94885714286,1114.80634285714,1444.3434,8.3,3.57,0.59,12,0.2,0.926,263,131,107.01,264.49
ES-11,1228.87015714286,1967.56084285714,829.000285714286,858.057428571429,1114.47218571429,1114.37048571429,1446.20305714286,8.3,3.57,0.61,12,0.168,0.943,253,128,117.01,197.02
ES-11,1229.94527142857,1968.65048571429,828.520842857143,857.287414285714,1113.87651428571,1114.98068571429,1439.51991428571,8.3,3.56,0.6,12,0.224,0.917,256,126,106.01,167.29
FC-10,782.363571428572,2636.19475714286,759.481071428571,1173.35648571429,1237.90692857143,1035.32052857143,-577.9611,8.6,3.47,0.64,13.2,1.144,1.243,475,167,82.01,78.05
FC-10,782.668671428572,2634.21887142857,761.253557142857,1177.70052857143,1243.34061428571,1035.72732857143,-580.329257142857,8.6,3.47,0.63,13.2,1.136,1.277,448,165,77.01,17.03
FC-10,784.935128571429,2631.82165714286,761.544128571429,1180.41737142857,1246.05745714286,1036.00337142857,-578.0628,8.6,3.47,0.63,13.2,1.12,1.311,449,167,95.01,139.07
Ge-08,1144.92407142857,3166.89441428571,1030.3227,1566.70302857143,1230.57,1082.26234285714,811.028442857143,8,3.53,0.57,13.48,0.816,0.943,392,161,43.00,140.53
Ge-08,1147.40845714286,3172.18281428571,1036.61357142857,1556.02452857143,1237.35484285714,1081.20175714286,813.280371428571,8,3.55,0.57,13.2,0.872,0.934,387,163,35.00,86.31
Ge-08,1148.74508571429,3173.8536,1043.31124285714,1537.6023,1244.99687142857,1081.89912857143,808.427828571429,8,3.56,0.57,13.68,0.912,0.934,368,164,41.00,187.41
GE-09,929.886685714286,2250.06891428571,763.578128571428,567.6894,908.151942857143,1040.62345714286,1573.15371428571,8.6,3.92,0.81,13.2,1.264,1.723,479,232,127.01,123.68
GE-09,927.140785714286,2244.46088571429,765.4959,572.817985714286,914.442814285714,1041.55328571429,1570.7565,8.5,3.91,0.77,13.2,1.28,1.791,502,225,93.01,65.56
